board,route,appVersion,url,imei,nfc,airmode,printer,dialer,terminal,status
"(9176) 446ER02","112","1.0.32","http://10.131.239.164:8080","863717050738090","on","off","UNKNOWN",,"T154500","VehicleStatusActive"
"(9177) 458ER02","112","1.0.32","http://10.131.239.136:8080","863717050730535","off","off","STS_NORMAL",,"T155686","VehicleStatusActive"
"(9179) 525ER02","112","1.0.32","http://10.131.239.99:8080","863717050734115","on","off","STS_NORMAL",,"T155767","VehicleStatusActive"
"(9180) 824ET02","112","1.0.32","http://10.131.239.160:8080","863717050727838","on","off","STS_NORMAL",,"T155769","VehicleStatusActive"
"(9182) 832ET02","112","1.0.32","http://10.131.239.159:8080","863717050701429","on","off","UNKNOWN",,"T155772","VehicleStatusActive"
"(9196) 172EU02","133","1.0.32","http://10.131.240.33:8080","863717050733752","on","off","STS_NORMAL",,"T155424","VehicleStatusActive"
"(9197) 240EU02","133","1.0.32","http://10.131.239.190:8080","863717050708382","on","off","STS_NORMAL",,"T154514","VehicleStatusActive"
"(9198) 237EU02","133","1.0.32","http://10.131.240.21:8080","863717050727572","on","off","STS_NORMAL",,"T155409","VehicleStatusActive"
"(9199) 199EU02","133","1.0.32","http://10.131.239.186:8080","863717050732770","on","off","STS_NORMAL",,"T154563","VehicleStatusActive"
"(9201) 294EU02","133","1.0.32","http://10.131.240.38:8080","863717050736896","on","off","STS_NORMAL",,"T154575","VehicleStatusInRepair"
"(9202) 255EU02","133","1.0.32","http://10.131.239.188:8080","863717050710974","on","off","STS_NORMAL",,"T155485","VehicleStatusActive"
"(9204) 179EU02","133","1.0.32","http://10.131.240.19:8080","863717050729552","on","off","UNKNOWN",,"T155649","VehicleStatusActive"
"(9206) 147EU02","133","1.0.32","http://10.131.239.184:8080","863717050706022","on","off","STS_NORMAL",,"T155565","VehicleStatusActive"
"(9208) 374EU02","133","1.0.32","http://10.131.240.30:8080","863717050736078","on","off","STS_NORMAL",,"T155647","VehicleStatusActive"
"(9210) 402EU02","133","1.0.32","http://10.131.240.20:8080","863717050738298","on","off","UNKNOWN",,"T155428","VehicleStatusActive"
"(9211) 384EU02","133","1.0.32","http://10.131.240.34:8080","863717050704480","on","off","STS_NORMAL",,"T154486","VehicleStatusActive"
"(9214) 313EU02","133","1.0.32","http://10.131.239.174:8080","863717050728877","on","off","STS_NORMAL",,"T155653","VehicleStatusActive"
"(9023) 940CO02","202","1.0.32","http://10.131.239.185:8080","863717050704423","on","off","UNKNOWN",,"T089519","VehicleStatusActive"
"(9025) 942CO02","202","1.0.32","http://10.131.239.181:8080","863717050714075","on","off","UNKNOWN",,"T089465","VehicleStatusActive"
"(9026) 944CO02","202","1.0.32","http://10.131.239.232:8080","863717050711154","on","off","UNKNOWN",,"T089466","VehicleStatusActive"
"(9027) 946CO02","202","1.0.32","http://10.131.239.180:8080","863717050732754","on","off","STS_NORMAL",,"T089469","VehicleStatusActive"
"(9030) 953CO02","202","1.0.32","http://10.131.239.201:8080","863717050726731","on","off","STS_NORMAL",,"T089478","VehicleStatusActive"
"(9031) 954CO02","202","1.0.32","http://10.131.240.93:8080","863717050722250","on","off","UNKNOWN",,"T089481","VehicleStatusActive"
"(9032) 955CO02","202","1.0.32","http://10.131.239.175:8080","863717050702104","on","off","STS_NORMAL",,"T089484","VehicleStatusActive"
"(9033) 956CO02","202","1.0.32","http://10.131.239.189:8080","863717050701445","on","off","STS_NORMAL",,"T089487","VehicleStatusActive"
"(9037) 961CO02","202","1.0.32","http://10.131.239.178:8080","863717050705123","on","off","STS_NORMAL",,"T089499","VehicleStatusActive"
"(9038) 962CO02","202","1.0.32","http://10.131.239.228:8080","863717050711972","on","off","UNKNOWN",,"T089504","VehicleStatusActive"
"(9043) 967CO02","202","1.0.32","http://10.131.239.182:8080","863717050709927","on","off","STS_NORMAL",,"T089362","VehicleStatusActive"
"(9069) 477CS02","202","1.0.32","http://10.131.239.177:8080","863717050705347","on","off","UNKNOWN",,"T089434","VehicleStatusIdle"
"(9124) 255ER02","202","1.0.32","http://10.131.239.137:8080","863717050732556","on","off","UNKNOWN",,"T155297","VehicleStatusInRepair"
"(9183) 834ET02","202","1.0.32","http://10.131.239.221:8080","863717050724579","on","off","UNKNOWN",,"T155430","VehicleStatusInRepair"
"(9184) 857ET02","202","1.0.32","http://10.131.239.112:8080","863717050731715","on","off","UNKNOWN",,"T154384","VehicleStatusInRepair"
"(9185) 864ET02","202","1.0.32","http://10.131.239.165:8080","863717050732416","on","off","STS_NORMAL",,"","VehicleStatusActive"
"(9046) 971CO02","205","1.0.32","http://10.131.240.103:8080","863717050726798","on","off","STS_NORMAL",,"T089382","VehicleStatusActive"
"(9047) 972CO02","205","1.0.32","http://10.131.239.231:8080","863717050718514","on","off","STS_NORMAL",,"T089385","VehicleStatusActive"
"(9048) 973CO02","205","1.0.32","http://10.131.240.122:8080","863717050731913","on","off","STS_NORMAL",,"T089364","VehicleStatusActive"
"(9049) 974CO02","205","1.0.32","http://10.131.240.109:8080","863717050734958","on","off","UNKNOWN",,"T089367","VehicleStatusActive"
"(9050) 975CO02","205","1.0.32","http://10.131.240.1:8080","863717050710511","on","off","STS_NORMAL",,"T089368","VehicleStatusActive"
"(9051) 976CO02","205","1.0.32","http://10.131.240.12:8080","863717050734230","on","off","STS_NORMAL",,"","VehicleStatusActive"
"(9053) 978CO02","205","1.0.32","http://10.131.240.214:8080","863717050732838","on","off","UNKNOWN",,"T089377","VehicleStatusActive"
"(9054) 980CO02","205","1.0.32","http://10.131.240.111:8080","863717050709307","on","off","STS_NORMAL",,"T089444","VehicleStatusActive"
"(9055) 981CO02","205","1.0.32","http://10.131.240.187:8080","863717050707525","on","off","STS_NORMAL",,"T089447","VehicleStatusActive"
"(9056) 982CO02","205","1.0.32","http://10.131.240.79:8080","863717050707020","on","off","STS_NORMAL",,"T089448","VehicleStatusActive"
"(9057) 983CO02","205","1.0.32","http://10.131.240.113:8080","863717050734776","on","off","STS_NORMAL",,"T089400","VehicleStatusActive"
"(9058) 984CO02","205","1.0.32","http://10.131.240.220:8080","863717050733638","on","off","STS_NORMAL",,"T089401","VehicleStatusActive"
"(9059) 985CO02","205","1.0.32","http://10.131.240.110:8080","863717050732432","on","off","UNKNOWN",,"T089404","VehicleStatusActive"
"(9060) 986CO02","205","1.0.32","http://10.131.240.85:8080","863717050723373","on","off","STS_NORMAL",,"T089407","VehicleStatusActive"
"(9061) 987CO02","205","1.0.32","http://10.131.240.106:8080","863717050735732","on","off","STS_NORMAL",,"T089410","VehicleStatusActive"
"(9062) 988CO02","205","1.0.32","http://10.131.240.216:8080","863717050725139","on","off","STS_NORMAL",,"T089413","VehicleStatusActive"
"(9063) 991CO02","205","1.0.32","http://10.131.240.215:8080","863717050716690","on","off","UNKNOWN",,"T089418","VehicleStatusActive"
"(9064) 993CO02","205","1.0.32","http://10.131.240.15:8080","863717050709026","on","off","STS_NORMAL",,"T089421","VehicleStatusActive"
"(9065) 994CO02","205","1.0.32","http://10.131.240.108:8080","863717050736276","on","off","UNKNOWN",,"T089424","VehicleStatusActive"
"(9066) 995CO02","205","1.0.32","http://10.131.240.121:8080","863717050736334","on","off","STS_NORMAL",,"T089427","VehicleStatusActive"
"(9067) 996CO02","205","1.0.32","http://10.131.240.107:8080","863717050736912","on","off","STS_NORMAL",,"T089428","VehicleStatusActive"
"(9068) 998CO02","205","1.0.32","http://10.131.240.115:8080","863717050726814","on","off","STS_NORMAL",,"T089432","VehicleStatusActive"
"(9242) 405EU02","205","1.0.32","http://10.131.240.181:8080","863717050730857","on","off","STS_NORMAL",,"T155128","VehicleStatusActive"
"(9222) 289EU02","206","1.0.32","http://10.131.239.107:8080","863717050734412","on","off","UNKNOWN",,"T154431","VehicleStatusActive"
"(9223) 182EU02","206","1.0.32","http://10.131.239.105:8080","863717050722417","on","off","STS_NORMAL",,"T154496","VehicleStatusActive"
"(9224) 277EU02","206","1.0.32","http://10.131.239.141:8080","863717050730675","on","off","STS_NORMAL",,"T154536","VehicleStatusActive"
"(9227) 307EU02","206","1.0.32","http://10.131.239.95:8080","863717050736193","on","off","STS_NORMAL",,"T154516","VehicleStatusActive"
"(9228) 235EU02","206","1.0.32","http://10.131.239.149:8080","863717050734719","on","off","UNKNOWN",,"T155641","VehicleStatusActive"
"(9229) 354EU02","206","1.0.32","http://10.131.239.121:8080","863717050701742","on","off","STS_NORMAL",,"T154605","VehicleStatusActive"
"(9230) 414EU02","206","1.0.32","http://10.131.239.94:8080","863717050736870","on","off","STS_NORMAL",,"","VehicleStatusActive"
"(9231) 753ER02","206","1.0.32","http://10.131.239.142:8080","863717050738058","on","off","UNKNOWN",,"T153629","VehicleStatusActive"
"(9233) 396EU02","206","1.0.32","http://10.131.239.101:8080","863717050723910","on","off","STS_NORMAL",,"","VehicleStatusActive"
"(9234) 389EU02","206","1.0.32","http://10.131.239.129:8080","863717050731095","on","off","STS_NORMAL",,"T153690","VehicleStatusActive"
"(9235) 728ER02","206","1.0.32","http://10.131.239.148:8080","863717050721518","on","off","STS_NORMAL",,"T154689","VehicleStatusActive"
"(9237) 698ER02","206","1.0.32","http://10.131.239.97:8080","863717050731079","on","off","UNKNOWN",,"","VehicleStatusInRepair"
"(9238) 517ER02","206","1.0.32","http://10.131.239.145:8080","863717050737217","on","off","STS_NORMAL",,"T154647","VehicleStatusInRepair"
"146DJ02","225","1.0.32","http://10.131.239.226:8080","863717050708788","on","off","STS_NORMAL",,"T156915","VehicleStatusActive"
"159DJ02","225","1.0.32","http://10.131.239.166:8080","863717050734834","on","off","STS_NORMAL",,"T158382","VehicleStatusActive"
"186DJ02","225","1.0.32","http://10.131.239.248:8080","863717050723654","on","off","STS_NORMAL",,"T158345","VehicleStatusActive"
"264DJ02","225","1.0.32","http://10.131.239.247:8080","863717050725311","on","off","STS_NORMAL",,"T158298","VehicleStatusActive"
"269DJ02","225","1.0.32","http://10.131.239.214:8080","863717050722334","on","off","STS_NORMAL",,"T155218","VehicleStatusActive"
"291DJ02","225","1.0.32","http://10.131.239.246:8080","863717050716294","on","off","STS_NORMAL",,"T158375","VehicleStatusActive"
"306DJ02","225","1.0.32","http://10.131.239.227:8080","863717050724819","on","off","STS_NORMAL",,"T155244","VehicleStatusActive"
"308DJ02","225","1.0.32","http://10.131.239.245:8080","863717050721955","on","off","STS_NORMAL",,"T154928","VehicleStatusActive"
"311DJ02","225","1.0.32","http://10.131.239.249:8080","863717050726293","on","off","UNKNOWN",,"T154848","VehicleStatusActive"
"313DJ02","225","1.0.32","http://10.131.239.234:8080","863717050728018","on","off","STS_NORMAL",,"T158331","VehicleStatusActive"
"316DJ02","225","1.0.32","http://10.131.239.252:8080","863717050724835","on","off","UNKNOWN",,"T155199","VehicleStatusActive"
"318DJ02","225","1.0.32","http://10.131.239.237:8080","863717050727093","on","off","STS_NORMAL",,"T155187","VehicleStatusActive"
"321DJ02","225","1.0.32","http://10.131.239.238:8080","863717050717193","on","off","STS_NORMAL",,"T158329","VehicleStatusActive"
"322DJ02","225","1.0.32","http://10.131.239.236:8080","863717050721997","on","off","STS_NORMAL",,"T089540","VehicleStatusActive"
"323DJ02","225","1.0.32","http://10.131.239.244:8080","863717050735039","on","off","STS_NORMAL",,"T089548","VehicleStatusActive"
"331DJ02","225","1.0.32","http://10.131.239.242:8080","863717050718373","on","off","STS_NORMAL",,"T158380","VehicleStatusActive"
"442EQ02","225","1.0.32","http://10.131.239.156:8080","863717050727770","on","off","STS_NORMAL",,"T158379","VehicleStatusActive"
"639LZ02","225","1.0.32","http://10.131.239.158:8080","863717050734354","on","off","STS_NORMAL",,"T158381","VehicleStatusActive"
"681LZ02","225","1.0.32","http://10.131.239.235:8080","863717050721435","on","off","STS_NORMAL",,"T158351","VehicleStatusActive"
"684LZ02","225","1.0.32","http://10.131.239.217:8080","863717050720379","on","off","STS_NORMAL",,"T158341","VehicleStatusActive"
"691LZ02","225","1.0.32","http://10.131.239.241:8080","863717050716377","on","off","STS_NORMAL",,"T155196","VehicleStatusActive"
"697LZ02","225","1.0.32","http://10.131.239.171:8080","863717050737233","on","off","STS_NORMAL",,"T154840","VehicleStatusActive"
"484EQ02","233","1.0.32","http://10.131.239.224:8080","863717050713234","on","off","UNKNOWN",,"T157798","VehicleStatusActive"
"494EQ02","233","1.0.32","http://10.131.239.216:8080","863717050714836","on","off","STS_NORMAL",,"T157789","VehicleStatusActive"
"498EQ02","233","1.0.32","http://10.131.239.193:8080","863717050728216","on","off","UNKNOWN",,"","VehicleStatusActive"
"502EQ02","233","1.0.32","http://10.131.239.199:8080","863717050723639","on","off","UNKNOWN",,"T157628","VehicleStatusActive"
"504EQ02","233","1.0.32","http://10.131.239.198:8080","863717050725774","on","off","STS_NORMAL",,"","VehicleStatusActive"
"508EQ02","233","1.0.32","http://10.131.240.35:8080","863717050713010","on","off","UNKNOWN",,"T157744","VehicleStatusActive"
"(2770) 728EW02","24","1.0.32","http://10.131.240.3:8080","863717050709042","on","off","UNKNOWN",,"T158283","VehicleStatusActive"
"(2772) 756EW02","24","1.0.32","http://10.131.240.80:8080","863717050718159","on","off","UNKNOWN",,"T158362","VehicleStatusActive"
"(2773) 761EW02","24","1.0.32","http://10.131.240.87:8080","863717050728075","on","off","UNKNOWN",,"T158356","VehicleStatusActive"
"(2774) 768EW02","24","1.0.32","http://10.131.240.13:8080","863717050711295","on","off","UNKNOWN",,"T158276","VehicleStatusActive"
"(2775) 769EW02","24","1.0.32","http://10.131.240.98:8080","863717050728398","on","off","UNKNOWN",,"T158324","VehicleStatusActive"
"(2776) 776EW02","24","1.0.32","http://10.131.240.16:8080","863717050728059","on","off","UNKNOWN",,"T158332","VehicleStatusActive"
"(2777) 783EW02","24","1.0.32","http://10.131.240.116:8080","863717050735112","on","off","UNKNOWN",,"T158277","VehicleStatusActive"
"(2778) 790EW02","24","1.0.32","http://10.131.240.5:8080","863717050710149","on","off","UNKNOWN",,"T158350","VehicleStatusActive"
"(2779) 804EW02","24","1.0.32","http://10.131.240.71:8080","863717050708267","on","off","UNKNOWN",,"T158572","VehicleStatusActive"
"(2780) 812EW02","24","1.0.32","http://10.131.240.70:8080","863717050716518","on","off","UNKNOWN",,"T158367","VehicleStatusActive"
"(2781) 814EW02","24","1.0.32","http://10.131.240.7:8080","863717050715858","on","off","UNKNOWN",,"T158369","VehicleStatusActive"
"243EQ02","240","1.0.32","http://10.131.239.200:8080","863717050719694","on","off","UNKNOWN",,"T157220","VehicleStatusActive"
"340EQ02","240","1.0.32","http://10.131.239.211:8080","863717050725436","on","off","STS_NORMAL",,"T157756","VehicleStatusActive"
"376EQ02","240","1.0.32","http://10.131.239.233:8080","863717050701205","on","off","UNKNOWN",,"T157210","VehicleStatusActive"
"392EQ02","240","1.0.32","http://10.131.239.212:8080","863717050737951","on","off","STS_NORMAL",,"T157208","VehicleStatusActive"
"396EQ02","240","1.0.32","http://10.131.239.204:8080","863717050715056","on","off","STS_NORMAL",,"T157692","VehicleStatusActive"
"406EQ02","240","1.0.32","http://10.131.239.208:8080","863717050725378","on","off","STS_NORMAL",,"T157578","VehicleStatusActive"
"432EQ02","240","1.0.32","http://10.131.239.215:8080","863717050713291","on","off","STS_NORMAL",,"T157518","VehicleStatusActive"
"440EQ02","240","1.0.32","http://10.131.239.210:8080","863717050723977","on","off","STS_NORMAL",,"T157247","VehicleStatusActive"
"532EQ02","240","1.0.32","http://10.131.239.203:8080","863717050712616","on","off","UNKNOWN",,"T157570","VehicleStatusActive"
"(9133) 266ER02","29","1.0.32","http://10.131.240.46:8080","863717050732473","on","off","STS_NORMAL",,"T154459","VehicleStatusActive"
"(9134) 375ER02","29","1.0.32","http://10.131.240.52:8080","863717050730071","on","off","STS_NORMAL",,"T154502","VehicleStatusActive"
"(9135) 376ER02","29","1.0.32","http://10.131.240.56:8080","863717050735831","on","off","STS_NORMAL",,"T155505","VehicleStatusActive"
"(9136) 387ER02","29","1.0.32","http://10.131.240.55:8080","863717050729792","on","off","STS_NORMAL",,"T155448","VehicleStatusActive"
"(9137) 352ER02","29","1.0.32","http://10.131.240.51:8080","863717050728596","on","off","STS_NORMAL",,"T154532","VehicleStatusActive"
"(9138) 384ER02","29","1.0.32","http://10.131.240.50:8080","863717050704126","on","off","STS_NORMAL",,"T155532","VehicleStatusActive"
"(9140) 350ER02","29","1.0.32","http://10.131.240.17:8080","863717050702542","on","off","STS_NORMAL",,"T153649","VehicleStatusActive"
"(9141) 308ER02","29","1.0.32","http://10.131.240.75:8080","863717050719256","on","off","UNKNOWN",,"T154522","VehicleStatusActive"
"(9142) 366ER02","29","1.0.32","http://10.131.240.59:8080","863717050718472","on","off","STS_NORMAL",,"T154476","VehicleStatusActive"
"(9143) 341ER02","29","1.0.32","http://10.131.240.91:8080","863717050720114","on","off","STS_NORMAL",,"T154538","VehicleStatusActive"
"(9144) 365ER02","29","1.0.32","http://10.131.239.253:8080","863717050708986","on","off","STS_NORMAL",,"T154542","VehicleStatusActive"
"(9145) 369ER02","29","1.0.32","http://10.131.240.44:8080","863717050726616","on","off","UNKNOWN",,"T155479","VehicleStatusActive"
"(9146) 370ER02","29","1.0.32","http://10.131.239.183:8080","863717050714174","on","off","STS_NORMAL",,"T154382","VehicleStatusActive"
"(9147) 377ER02","29","1.0.32","http://10.131.240.54:8080","863717050713895","on","off","STS_NORMAL",,"T154510","VehicleStatusActive"
"(9149) 214ER02","29","1.0.32","http://10.131.240.58:8080","863717050729651","on","off","STS_NORMAL",,"","VehicleStatusActive"
"(9150) 359ER02","29","1.0.32","http://10.131.240.48:8080","863717050729099","on","off","STS_NORMAL",,"T154425","VehicleStatusInRepair"
"(9151) 318ER02","29","1.0.32","http://10.131.240.198:8080","863717050703524","on","off","STS_NORMAL",,"","VehicleStatusActive"
"(9153) 373ER02","29","1.0.32","http://10.131.240.82:8080","863717050706089","on","off","UNKNOWN",,"","VehicleStatusActive"
"(9154) 389ER02","29","1.0.32","http://10.131.240.63:8080","863717050731434","on","off","STS_NORMAL",,"T155746","VehicleStatusActive"
"(9155) 380ER02","29","1.0.32","http://10.131.240.45:8080","863717050730352","on","off","STS_NORMAL",,"T155771","VehicleStatusActive"
"(9156) 361ER02","29","1.0.32","http://10.131.240.62:8080","863717050735195","on","off","STS_NORMAL",,"T155704","VehicleStatusActive"
"(9186) 885ET02","29","1.0.32","http://10.131.240.53:8080","863717050737910","on","off","STS_NORMAL",,"T154772","VehicleStatusActive"
"(9187) 201EU02","29","1.0.32","http://10.131.240.60:8080","863717050730873","on","off","STS_NORMAL",,"T154743","VehicleStatusActive"
