board,route,appVersion,url,imei,nfc,airmode,printer,dialer,terminal,status
"(9089) 874CS02","100","1.0.32","http://10.131.239.170:8080","863717050725832","on","off","STS_NORMAL",,"T128286","VehicleStatusActive"
"(9090) 370CS02","100","1.0.32","http://10.131.240.118:8080","863717050733158","on","off","STS_NORMAL",,"T128423","VehicleStatusUnknown"
"(9091) 371CS02","100","1.0.32","http://10.131.240.86:8080","863717050729917","on","off","STS_NORMAL",,"T128420","VehicleStatusActive"
"(9092) 876CS02","100","1.0.32","http://10.131.240.158:8080","863717050733893","on","off","STS_NORMAL",,"T128281","VehicleStatusActive"
"(9093) 358CS02","100","1.0.32","http://10.131.240.68:8080","863717050704506","on","off","STS_NORMAL",,"T128296","VehicleStatusActive"
"(9095) 867CS02","100","1.0.32","http://10.131.240.156:8080","863717050733034","on","off","STS_NORMAL",,"T128244","VehicleStatusActive"
"(9121) 248EN02","100","1.0.32","http://10.131.240.130:8080","863717050704761","on","off","STS_NORMAL",,"T155711","VehicleStatusActive"
"(9122) 249ER02","100","1.0.32","http://10.131.240.194:8080","863717050705925","on","off","STS_NORMAL",,"T155714","VehicleStatusActive"
"(9186) 885ET02","100","1.0.32","http://10.131.240.53:8080","863717050737910","on","off","STS_NORMAL",,"T154772","VehicleStatusActive"
"(9218) 018EU02","100","1.0.32","http://10.131.240.149:8080","863717050731152","on","off","UNKNOWN",,"T154716","VehicleStatusActive"
"(9219) 279EU02","100","1.0.32","http://10.131.240.201:8080","863717050725238","on","off","STS_NORMAL",,"T154745","VehicleStatusInRepair"
"(9152) 401ER02","112","1.0.32","http://10.131.239.173:8080","863717050734651","on","off","STS_NORMAL",,"T154480","VehicleStatusActive"
"(9158) 398ER02","112","1.0.32","http://10.131.239.128:8080","863717050710495","on","off","STS_NORMAL",,"T155765","VehicleStatusActive"
"(9159) 411ER02","112","1.0.32","http://10.131.240.36:8080","863717050728976","on","off","STS_NORMAL",,"T155676","VehicleStatusUnknown"
"(9160) 430ER02","112","1.0.32","http://10.131.239.162:8080","863717050730154","on","off","STS_NORMAL",,"T155652","VehicleStatusActive"
"(9162) 452ER02","112","1.0.32","http://10.131.239.96:8080","863717050737035","on","off","STS_NORMAL",,"T154449","VehicleStatusActive"
"(9163) 462ER02","112","1.0.32","http://10.131.240.37:8080","863717050738231","on","off","STS_NORMAL",,"T155579","VehicleStatusInRepair"
"(9164) 473ER02","112","1.0.32","http://10.131.239.130:8080","863717050730451","on","off","STS_NORMAL",,"","VehicleStatusActive"
"(9165) 476ER02","112","1.0.32","http://10.131.240.27:8080","863717050738256","on","off","UNKNOWN",,"T155692","VehicleStatusActive"
"(9166) 480ER02","112","1.0.32","http://10.131.239.153:8080","863717050731970","on","off","STS_NORMAL",,"T155474","VehicleStatusActive"
"(9167) 485ER02","112","1.0.32","http://10.131.239.154:8080","863717050725873","on","off","STS_NORMAL",,"T154488","VehicleStatusActive"
"(9168) 487ER02","112","1.0.32","http://10.131.239.169:8080","863717050725618","on","off","UNKNOWN",,"T155674","VehicleStatusActive"
"(9170) 492ER02","112","1.0.32","http://10.131.239.131:8080","863717050728836","on","off","UNKNOWN",,"","VehicleStatusActive"
"(9171) 493ER02","112","1.0.32","http://10.131.240.31:8080","863717050736094","on","off","STS_NORMAL",,"T155540","VehicleStatusActive"
"(9172) 496ER02","112","1.0.32","http://10.131.239.172:8080","863717050735617","on","off","STS_NORMAL",,"T154383","VehicleStatusActive"
"(9173) 497ER02","112","1.0.32","http://10.131.239.155:8080","863717050736250","on","off","STS_NORMAL",,"T155650","VehicleStatusActive"
"(9174) 502ER02","112","1.0.32","http://10.131.239.135:8080","863717050727333","on","off","STS_NORMAL",,"T154484","VehicleStatusActive"
"(9175) 503ER02","112","1.0.32","http://10.131.240.29:8080","863717050736730","on","off","UNKNOWN",,"T155651","VehicleStatusActive"
"(9177) 458ER02","112","1.0.32","http://10.131.239.136:8080","863717050730535","off","off","STS_NORMAL",,"T155686","VehicleStatusActive"
"(9179) 525ER02","112","1.0.32","http://10.131.239.99:8080","863717050734115","on","off","STS_NORMAL",,"T155767","VehicleStatusActive"
"(9181) 830ET02","112","1.0.32","http://10.131.239.100:8080","863717050722870","on","off","UNKNOWN",,"T154482","VehicleStatusActive"
"(9182) 832ET02","112","1.0.32","http://10.131.239.159:8080","863717050701429","on","off","STS_NORMAL",,"T155772","VehicleStatusActive"
"(9183) 834ET02","112","1.0.32","http://10.131.239.221:8080","863717050724579","on","off","UNKNOWN",,"T155430","VehicleStatusActive"
"(9196) 172EU02","133","1.0.32","http://10.131.240.33:8080","863717050733752","on","off","UNKNOWN",,"T155424","VehicleStatusActive"
"(9197) 240EU02","133","1.0.32","http://10.131.239.190:8080","863717050708382","on","off","STS_NORMAL",,"T154514","VehicleStatusActive"
"(9198) 237EU02","133","1.0.32","http://10.131.240.21:8080","863717050727572","on","off","STS_NORMAL",,"T155409","VehicleStatusActive"
"(9199) 199EU02","133","1.0.32","http://10.131.239.186:8080","863717050732770","on","off","STS_NORMAL",,"T154563","VehicleStatusActive"
"(9200) 236EU02","133","1.0.32","http://10.131.239.187:8080","863717050721278","on","off","UNKNOWN",,"T155810","VehicleStatusActive"
"(9201) 294EU02","133","1.0.32","http://10.131.240.38:8080","863717050736896","on","off","STS_NORMAL",,"T154575","VehicleStatusActive"
"(9204) 179EU02","133","1.0.32","http://10.131.240.48:8080","863717050729099","on","off","UNKNOWN",,"T155649","VehicleStatusActive"
"(9205) 316EU02","133","1.0.32","http://10.131.239.118:8080","863717050733810","on","off","UNKNOWN",,"T155535","VehicleStatusActive"
"(9206) 147EU02","133","1.0.32","http://10.131.239.184:8080","863717050706022","on","off","STS_NORMAL",,"T155565","VehicleStatusActive"
"(9207) 283EU02","133","1.0.32","http://10.131.240.28:8080","863717050731558","on","off","STS_NORMAL",,"T155644","VehicleStatusActive"
"(9208) 374EU02","133","1.0.32","http://10.131.240.30:8080","863717050736078","on","off","UNKNOWN",,"T155647","VehicleStatusInRepair"
"(9209) 292EU02","133","1.0.32","http://10.131.239.104:8080","863717050728935","on","off","STS_NORMAL",,"T154498","VehicleStatusActive"
"(9210) 402EU02","133","1.0.32","http://10.131.240.20:8080","863717050738298","on","off","STS_NORMAL",,"T155428","VehicleStatusActive"
"(9211) 384EU02","133","1.0.32","http://10.131.240.34:8080","863717050704480","on","off","STS_NORMAL",,"T154486","VehicleStatusActive"
"(9212) 381EU02","133","1.0.32","http://10.131.214.134:8080","863717050728232","on","off","UNKNOWN",,"T155548","VehicleStatusActive"
"(9214) 313EU02","133","1.0.32","http://10.131.239.174:8080","863717050728877","on","off","STS_NORMAL",,"T155653","VehicleStatusActive"
"(5037) 318HD02","18","1.0.32","http://10.131.214.61:8080","863717050734032","on","off","STS_NORMAL",,"T060601","VehicleStatusActive"
"(5038) 339HD02","18","1.0.32","http://10.131.214.64:8080","863717050724611","on","off","STS_NORMAL",,"T059976","VehicleStatusActive"
"(5050) 344HD02","18","1.0.32","http://10.131.214.97:8080","863717050702260","on","off","UNKNOWN",,"T060587","VehicleStatusActive"
"(5051) 894LF02","18","1.0.32","http://10.131.214.155:8080","863717050722516","on","off","STS_NORMAL",,"T012382","VehicleStatusActive"
"(5052) 866LF02","18","1.0.32","http://10.131.214.63:8080","863717050728679","on","off","STS_NORMAL",,"T014581","VehicleStatusActive"
"(5055) 862LF02","18","1.0.32","http://10.131.214.223:8080","863717050715015","on","off","STS_NORMAL",,"T012001","VehicleStatusActive"
"(5056) 883LF02","18","1.0.32","http://10.131.214.47:8080","863717050705545","on","off","STS_NORMAL",,"T012559","VehicleStatusActive"
"(5058) 885LF02","18","1.0.32","http://10.131.214.74:8080","863717050734750","on","off","STS_NORMAL",,"T013575","VehicleStatusActive"
"(5059) 867LF02","18","1.0.32","http://10.131.214.241:8080","863717050724694","on","off","UNKNOWN",,"T012732","VehicleStatusIdle"
"(5061) 887LF02","18","1.0.32","http://10.131.214.154:8080","863717050732051","on","off","STS_NORMAL",,"T012015","VehicleStatusActive"
"(5063) 873LF02","18","1.0.32","http://10.131.240.77:8080","863717050723530","on","off","STS_NORMAL",,"T157725","VehicleStatusActive"
"(5065) 899LF02","18","1.0.32","http://10.131.214.152:8080","863717050701361","on","off","STS_NORMAL",,"T014900","VehicleStatusIdle"
"(5072) 884LF02","18","1.0.32","http://10.131.214.149:8080","863717050710370","on","off","STS_NORMAL",,"T012005","VehicleStatusActive"
"(5073) 879LF02","18","1.0.32","http://10.131.214.224:8080","863717050711956","on","off","STS_NORMAL",,"T012093","VehicleStatusActive"
"(5091) 966AP02","18","1.0.32","http://10.131.214.81:8080","863717050724074","on","off","STS_NORMAL",,"T138989","VehicleStatusActive"
"(5103) 953AP02","18","1.0.32","http://10.131.214.84:8080","863717050737050","on","off","STS_NORMAL",,"T138995","VehicleStatusActive"
"(5074) 959AP02","19","1.0.32","http://10.131.214.51:8080","863717050705164","on","off","STS_NORMAL",,"T157779","VehicleStatusActive"
"(5078) 994AP02","19","1.0.32","http://10.131.239.252:8080","863717050724835","on","off","STS_NORMAL",,"T157001","VehicleStatusActive"
"(5092) 238AJ02","19","1.0.32","http://10.131.214.49:8080","863717050722854","on","off","STS_NORMAL",,"T045814","VehicleStatusActive"
"(5094) 988AP02","19","1.0.32","http://10.131.239.122:8080","863717050737399","on","off","STS_NORMAL",,"T045879","VehicleStatusActive"
"(5095) 215AJ02","19","1.0.32","http://10.131.239.115:8080","863717050728778","on","off","STS_NORMAL",,"T155099","VehicleStatusActive"
"(5096) 263AJ02","19","1.0.32","http://10.131.214.112:8080","863717050705826","on","off","STS_NORMAL",,"T156999","VehicleStatusActive"
"(5097) 294AJ02","19","1.0.32","http://10.131.214.128:8080","863717050729834","on","off","STS_NORMAL",,"","VehicleStatusActive"
"(5098) 971AQ02","19","1.0.32","http://10.131.214.125:8080","863717050708523","on","off","STS_NORMAL",,"T155016","VehicleStatusActive"
"(5099) 957AP02","19","1.0.32","http://10.131.214.90:8080","863717050736433","on","off","STS_NORMAL",,"T157770","VehicleStatusActive"
"(5100) 274AJ02","19","1.0.32","http://10.131.239.109:8080","863717050738272","on","off","STS_NORMAL",,"T155007","VehicleStatusActive"
"(5104) 279AJ02","19","1.0.32","http://10.131.214.82:8080","863717050707442","on","off","STS_NORMAL",,"T045911","VehicleStatusActive"
"(5106) 952AP02","19","1.0.32","http://10.131.214.126:8080","863717050734313","on","off","STS_NORMAL",,"T155100","VehicleStatusActive"
"(5109) 992AQ02","19","1.0.32","http://10.131.214.122:8080","863717050728810","on","off","STS_NORMAL",,"T156993","VehicleStatusActive"
"(5110) 986AP02","19","1.0.32","http://10.131.214.242:8080","863717050720437","on","off","STS_NORMAL",,"","VehicleStatusActive"
"(9021) 938CO02","202","1.0.32","http://10.131.239.191:8080","863717050715171","on","off","STS_NORMAL",,"T089513","VehicleStatusActive"
"(9023) 940CO02","202","1.0.32","http://10.131.239.185:8080","863717050704423","on","off","UNKNOWN",,"T089519","VehicleStatusActive"
"(9025) 942CO02","202","1.0.32","http://10.131.239.181:8080","863717050714075","on","off","STS_NORMAL",,"T089465","VehicleStatusActive"
"(9026) 944CO02","202","1.0.32","http://10.131.239.232:8080","863717050711154","on","off","STS_NORMAL",,"T089466","VehicleStatusActive"
"(9027) 946CO02","202","1.0.32","http://10.131.239.180:8080","863717050732754","on","off","STS_NORMAL",,"","VehicleStatusActive"
"(9028) 951CO02","202","1.0.32","http://10.131.239.219:8080","863717050723696","on","off","STS_NORMAL",,"","VehicleStatusActive"
"(9029) 952CO02","202","1.0.32","http://10.131.239.229:8080","863717050724595","on","off","STS_NORMAL",,"T089475","VehicleStatusActive"
"(9031) 954CO02","202","1.0.32","http://10.131.240.93:8080","863717050722250","on","off","STS_NORMAL",,"T089481","VehicleStatusActive"
"(9032) 955CO02","202","1.0.32","http://10.131.239.175:8080","863717050702104","on","off","STS_NORMAL",,"T089484","VehicleStatusActive"
"(9033) 956CO02","202","1.0.32","http://10.131.239.189:8080","863717050701445","on","off","STS_NORMAL",,"T089487","VehicleStatusActive"
"(9037) 961CO02","202","1.0.32","http://10.131.239.178:8080","863717050705123","on","off","STS_NORMAL",,"T089499","VehicleStatusActive"
"(9038) 962CO02","202","1.0.32","http://10.131.239.228:8080","863717050711972","on","off","STS_NORMAL",,"T089504","VehicleStatusActive"
"(9043) 967CO02","202","1.0.32","http://10.131.239.182:8080","863717050709927","on","off","STS_NORMAL",,"T089362","VehicleStatusActive"
"(9069) 477CS02","202","1.0.32","http://10.131.239.177:8080","863717050705347","on","off","STS_NORMAL",,"T089434","VehicleStatusUnknown"
"(9123) 250ER02","202","1.0.32","http://10.131.239.147:8080","863717050724199","on","off","STS_NORMAL",,"T155703","VehicleStatusActive"
"(9124) 255ER02","202","1.0.32","http://10.131.239.137:8080","863717050732556","on","off","STS_NORMAL",,"T155297","VehicleStatusActive"
"(9184) 857ET02","202","1.0.32","http://10.131.239.112:8080","863717050731715","on","off","UNKNOWN",,"T154384","VehicleStatusActive"
"(9039) 963CO02","205","1.0.32","http://10.131.240.102:8080","863717050735971","on","off","UNKNOWN",,"T089437","VehicleStatusActive"
"(9040) 964CO02","205","1.0.32","http://10.131.240.112:8080","863717050733794","on","off","STS_NORMAL",,"T089442","VehicleStatusUnknown"
"(9044) 968CO02","205","1.0.32","http://10.131.240.119:8080","863717050735799","on","off","STS_NORMAL",,"T089393","VehicleStatusActive"
"(9045) 970CO02","205","1.0.32","http://10.131.240.213:8080","863717050715098","on","off","STS_NORMAL",,"T089379","VehicleStatusActive"
"(9046) 971CO02","205","1.0.32","http://10.131.240.103:8080","863717050726798","on","off","STS_NORMAL",,"T089382","VehicleStatusActive"
"(9047) 972CO02","205","1.0.32","http://10.131.239.231:8080","863717050718514","on","off","STS_NORMAL",,"T089385","VehicleStatusActive"
"(9048) 973CO02","205","1.0.32","http://10.131.240.122:8080","863717050731913","on","off","STS_NORMAL",,"T089364","VehicleStatusInRepair"
"(9049) 974CO02","205","1.0.32","http://10.131.240.109:8080","863717050734958","on","off","UNKNOWN",,"T089367","VehicleStatusActive"
"(9050) 975CO02","205","1.0.32","http://10.131.240.1:8080","863717050710511","on","off","STS_NORMAL",,"T089368","VehicleStatusActive"
"(9051) 976CO02","205","1.0.32","http://10.131.240.12:8080","863717050734230","on","off","STS_NORMAL",,"T089371","VehicleStatusActive"
"(9053) 978CO02","205","1.0.32","http://10.131.240.214:8080","863717050732838","on","off","STS_NORMAL",,"T089377","VehicleStatusActive"
"(9054) 980CO02","205","1.0.32","http://10.131.240.111:8080","863717050709307","on","off","STS_NORMAL",,"T089444","VehicleStatusActive"
"(9055) 981CO02","205","1.0.32","http://10.131.240.187:8080","863717050707525","on","off","STS_NORMAL",,"T089447","VehicleStatusActive"
"(9056) 982CO02","205","1.0.32","http://10.131.240.79:8080","863717050707020","on","off","STS_NORMAL",,"T089448","VehicleStatusActive"
"(9057) 983CO02","205","1.0.32","http://10.131.240.113:8080","863717050734776","on","off","STS_NORMAL",,"T089400","VehicleStatusActive"
"(9058) 984CO02","205","1.0.32","http://10.131.240.220:8080","863717050733638","on","off","STS_NORMAL",,"T089401","VehicleStatusActive"
"(9059) 985CO02","205","1.0.32","http://10.131.240.110:8080","863717050732432","on","off","STS_NORMAL",,"T089404","VehicleStatusActive"
"(9060) 986CO02","205","1.0.32","http://10.131.240.85:8080","863717050723373","on","off","UNKNOWN",,"","VehicleStatusActive"
"(9061) 987CO02","205","1.0.32","http://10.131.240.106:8080","863717050735732","on","off","STS_NORMAL",,"T089410","VehicleStatusActive"
"(9062) 988CO02","205","1.0.32","http://10.131.240.216:8080","863717050725139","on","off","UNKNOWN",,"T089413","VehicleStatusActive"
"(9063) 991CO02","205","1.0.32","http://10.131.240.215:8080","863717050716690","on","off","UNKNOWN",,"T089418","VehicleStatusActive"
"(9064) 993CO02","205","1.0.32","http://10.131.240.15:8080","863717050709026","on","off","STS_NORMAL",,"T089421","VehicleStatusActive"
"(9065) 994CO02","205","1.0.32","http://10.131.240.108:8080","863717050736276","on","off","UNKNOWN",,"T089424","VehicleStatusActive"
"(9066) 995CO02","205","1.0.32","http://10.131.240.121:8080","863717050736334","on","off","STS_NORMAL",,"T089427","VehicleStatusActive"
"(9067) 996CO02","205","1.0.32","http://10.131.240.107:8080","863717050736912","on","off","UNKNOWN",,"T089428","VehicleStatusActive"
"(9068) 998CO02","205","1.0.32","http://10.131.240.115:8080","863717050726814","on","off","STS_NORMAL",,"T089432","VehicleStatusActive"
"(9223) 182EU02","206","1.0.32","http://10.131.239.105:8080","863717050722417","on","off","STS_NORMAL",,"T154496","VehicleStatusActive"
"(9224) 277EU02","206","1.0.32","http://10.131.239.141:8080","863717050730675","on","off","STS_NORMAL",,"T154536","VehicleStatusActive"
"(9226) 287EU02","206","1.0.32","http://10.131.239.114:8080","863717050736458","on","off","STS_NORMAL",,"T154509","VehicleStatusActive"
"(9227) 307EU02","206","1.0.32","http://10.131.239.95:8080","863717050736193","on","off","UNKNOWN",,"T154516","VehicleStatusActive"
"(9230) 414EU02","206","1.0.32","http://10.131.239.94:8080","863717050736870","on","off","UNKNOWN",,"T154609","VehicleStatusActive"
"(9231) 753ER02","206","1.0.32","http://10.131.240.92:8080","863717050729958","on","off","UNKNOWN",,"T153629","VehicleStatusActive"
"(9232) 724ER02","206","1.0.32","http://10.131.214.98:8080","863717050736797","on","off","UNKNOWN",,"T154701","VehicleStatusActive"
"(9233) 396EU02","206","1.0.32","http://10.131.239.101:8080","863717050723910","on","off","UNKNOWN",,"","VehicleStatusActive"
"(9235) 728ER02","206","1.0.32","http://10.131.239.148:8080","863717050721518","on","off","UNKNOWN",,"T154689","VehicleStatusUnknown"
"(9236) 683ER02","206","1.0.32","http://10.131.214.140:8080","863717050737415","on","off","STS_NORMAL",,"T153688","VehicleStatusActive"
"(9237) 698ER02","206","1.0.32","http://10.131.239.97:8080","863717050731079","on","off","UNKNOWN",,"T153697","VehicleStatusActive"
"(9238) 517ER02","206","1.0.32","http://10.131.239.145:8080","863717050737217","on","off","STS_NORMAL",,"T154647","VehicleStatusActive"
"129DJ02","225","1.0.32","http://10.131.239.239:8080","863717050719975","on","off","STS_NORMAL",,"T158335","VehicleStatusActive"
"146DJ02","225","1.0.32","http://10.131.239.226:8080","863717050708788","on","off","STS_NORMAL",,"T156915","VehicleStatusActive"
"159DJ02","225","1.0.32","http://10.131.239.166:8080","863717050734834","on","off","STS_NORMAL",,"T158382","VehicleStatusActive"
"186DJ02","225","1.0.32","http://10.131.239.248:8080","863717050723654","on","off","STS_NORMAL",,"T158345","VehicleStatusActive"
"264DJ02","225","1.0.32","http://10.131.239.247:8080","863717050725311","on","off","STS_NORMAL",,"T158298","VehicleStatusActive"
"291DJ02","225","1.0.32","http://10.131.239.246:8080","863717050716294","on","off","STS_NORMAL",,"","VehicleStatusActive"
"308DJ02","225","1.0.32","http://10.131.239.245:8080","863717050721955","on","off","STS_NORMAL",,"T154928","VehicleStatusActive"
"316DJ02","225","1.0.32","http://10.131.240.9:8080","863717050702385","on","off","STS_NORMAL",,"T155199","VehicleStatusActive"
"318DJ02","225","1.0.32","http://10.131.239.237:8080","863717050727093","on","off","STS_NORMAL",,"T155187","VehicleStatusActive"
"321DJ02","225","1.0.32","http://10.131.239.238:8080","863717050717193","on","off","STS_NORMAL",,"T158329","VehicleStatusActive"
"323DJ02","225","1.0.32","http://10.131.239.244:8080","863717050735039","on","off","STS_NORMAL",,"T089548","VehicleStatusActive"
"331DJ02","225","1.0.32","http://10.131.239.242:8080","863717050718373","on","off","STS_NORMAL",,"T158380","VehicleStatusActive"
"442EQ02","225","1.0.32","http://10.131.239.156:8080","863717050727770","on","off","STS_NORMAL",,"T158379","VehicleStatusActive"
"639LZ02","225","1.0.32","http://10.131.239.158:8080","863717050734354","on","off","STS_NORMAL",,"T158381","VehicleStatusActive"
"681LZ02","225","1.0.32","http://10.131.239.235:8080","863717050721435","on","off","STS_NORMAL",,"","VehicleStatusActive"
"684LZ02","225","1.0.32","http://10.131.239.217:8080","863717050720379","on","off","STS_NORMAL",,"T158341","VehicleStatusActive"
"691LZ02","225","1.0.32","http://10.131.239.241:8080","863717050716377","on","off","STS_NORMAL",,"T155196","VehicleStatusActive"
"697LZ02","225","1.0.32","http://10.131.239.171:8080","863717050737233","on","off","STS_NORMAL",,"","VehicleStatusActive"
"698LZ02","225","1.0.32","http://10.131.239.240:8080","863717050701304","on","off","STS_NORMAL",,"T158384","VehicleStatusActive"
"484EQ02","233","1.0.32","http://10.131.239.224:8080","863717050713234","on","off","STS_NORMAL",,"T157798","VehicleStatusActive"
"485EQ02","233","1.0.32","http://10.131.214.110:8080","863717050702021","on","off","STS_NORMAL",,"T158186","VehicleStatusActive"
"494EQ02","233","1.0.32","http://10.131.239.216:8080","863717050714836","on","off","STS_NORMAL",,"T157789","VehicleStatusActive"
"498EQ02","233","1.0.32","http://10.131.239.193:8080","863717050728216","on","off","STS_NORMAL",,"T157212","VehicleStatusActive"
"502EQ02","233","1.0.32","http://10.131.239.199:8080","863717050723639","on","off","STS_NORMAL",,"T157628","VehicleStatusActive"
"503EQ02","233","1.0.32","http://10.131.214.133:8080","863717050734552","on","off","STS_NORMAL",,"T157234","VehicleStatusActive"
"504EQ02","233","1.0.32","http://10.131.239.198:8080","863717050725774","on","off","STS_NORMAL",,"T157981","VehicleStatusActive"
"508EQ02","233","1.0.32","http://10.131.240.35:8080","863717050713010","on","off","STS_NORMAL",,"T157744","VehicleStatusActive"
"(2770) 728EW02","24","1.0.32","http://10.131.240.3:8080","863717050709042","on","off","UNKNOWN",,"T158283","VehicleStatusActive"
"(2772) 756EW02","24","1.0.32","http://10.131.240.80:8080","863717050718159","on","off","UNKNOWN",,"T158362","VehicleStatusActive"
"(2774) 768EW02","24","1.0.32","http://10.131.240.13:8080","863717050711295","on","off","UNKNOWN",,"T158276","VehicleStatusActive"
"(2775) 769EW02","24","1.0.32","http://10.131.240.98:8080","863717050728398","on","off","UNKNOWN",,"T158324","VehicleStatusActive"
